Model,Accuracy,Precision(macro),Recall(macro),F1(macro)
XGBoost,0.9449591280653951,0.8820540085094879,0.9101429029431617,0.8952588326525669
Random Forest,0.929700272479564,0.853811357747133,0.8949291883060153,0.8724099156911675
Decision Tree,0.9269754768392371,0.8531200997368288,0.8494045604700269,0.8509721970082893
SVM,0.8392370572207084,0.6962349017472409,0.8411071070705805,0.7469302989503053
Logistic Regression,0.7122615803814714,0.5864603093446412,0.757221017106379,0.6344794718803154
