Model,Accuracy,Precision(macro),Recall(macro),F1(macro),F1(weighted)
XGBoost,0.9438692098092643,0.8774162753682864,0.8986826574297125,0.8872905907897938,0.9449137583177628
Random Forest,0.9329700272479564,0.8705477644508364,0.8966172766288292,0.8814569738353327,0.9347753027214815
Decision Tree,0.9335149863760218,0.8660449303564486,0.8700099305777804,0.8679523732069275,0.9338839823094688
SVM,0.8217983651226158,0.688312013111162,0.8292149595811344,0.7380424803089705,0.8340481594119138
Logistic Regression,0.7149863760217984,0.58952117123073,0.7528600365773002,0.6370294609153733,0.7359191277375866
